Katman,Kavram,Parti,Once_ham,Once_10k,Sonra_ham,Sonra_10k,Fark_10k,Degisim_yuzde
Sekil2-3 (kavram frekansi),milli,AKP,239,32.47,263,35.73,3.26,10.0
Sekil2-3 (kavram frekansi),milli,CHP_IYI_Ortak,38,12.7,45,15.03,2.33,18.3
Sekil2-3 (kavram frekansi),milli,DEM,2,2.87,2,2.87,0.0,0.0
Sekil2-3 (kavram frekansi),milli,MHP,10,4.4,243,106.83,102.43,2328.0
Sekil2-3 (kavram frekansi),adalet,AKP,152,20.65,154,20.92,0.27,1.3
Sekil2-3 (kavram frekansi),adalet,CHP_IYI_Ortak,24,8.02,24,8.02,0.0,0.0
Sekil2-3 (kavram frekansi),adalet,DEM,24,34.46,24,34.46,0.0,0.0
Sekil2-3 (kavram frekansi),adalet,MHP,62,27.26,62,27.26,0.0,0.0
"Sekil4 (Regulasyon ekseni, 9 kelime toplami)",regulasyon_toplam,AKP,284,38.59,449,61.0,22.41,58.1
"Sekil4 (Regulasyon ekseni, 9 kelime toplami)",regulasyon_toplam,CHP_IYI_Ortak,239,79.85,305,101.9,22.05,27.6
"Sekil4 (Regulasyon ekseni, 9 kelime toplami)",regulasyon_toplam,DEM,137,196.73,186,267.09,70.36,35.8
"Sekil4 (Regulasyon ekseni, 9 kelime toplami)",regulasyon_toplam,MHP,112,49.24,171,75.18,25.94,52.7
